CO,NO2,O3,SO2,PM2.5,PM10,City
340.46,33.24,66.52,6.26,9.04,12.18,Renton
158.55,0.64,80.11,1.13,2.82,3.22,Lawrence
236.99,1.71,114.44,2.77,8.68,8.9,Grand Rapids
236.99,4.46,52.21,0.97,1.73,2.95,Miami
317.1,19.54,113.01,2.59,8.07,8.52,Orlando
168.56,1.01,115.87,1.09,3.91,5.55,Sacramento
240.33,8.05,87.98,4.83,19.9,21.5,Vancouver
243.66,5.31,82.97,1.07,3.34,4.49,Washington
168.56,1.93,118.73,1.51,3.75,5.34,Rancho Cordova
160.22,0.74,111.58,0.91,3.23,7.41,South Jordan
213.62,3.3,81.54,0.58,5.61,10.26,Trenton
270.37,1.5,103.0,0.54,3.9,3.97,Southfield
208.62,0.24,36.84,0.07,0.7,0.85,San Angelo
243.66,5.31,82.97,1.07,3.34,4.49,Silver Spring
230.31,0.87,38.98,0.71,4.23,10.35,Corpus Christi
233.65,2.36,62.23,1.28,1.03,1.4,Montgomery
165.22,0.76,124.45,1.18,5.61,11.42,Ogden
173.57,2.04,94.41,0.41,2.48,3.46,Nashua
233.65,2.01,55.08,0.07,4.65,4.81,Lakeland
247.0,4.46,85.83,1.91,7.05,8.28,Boynton Beach
236.99,1.03,65.09,0.1,0.81,0.95,Murfreesboro
247.0,0.84,81.54,0.58,4.36,4.59,Champaign
185.25,0.85,82.25,0.3,2.99,6.2,Pueblo
243.66,2.53,62.94,2.92,3.29,4.93,Sugar Land
171.9,0.76,125.89,0.33,1.91,3.92,North Las Vegas
213.62,0.96,72.24,0.34,3.17,4.6,Fayetteville
188.59,5.01,141.62,6.26,8.31,16.42,Irvine
196.93,1.91,47.21,0.22,0.53,0.62,Youngs
183.58,1.46,163.08,2.18,12.89,16.71,Modesto
213.62,0.96,44.35,1.12,2.99,6.39,Lake Charles
156.88,2.36,65.8,0.89,2.78,5.83,Plymouth
173.57,1.59,138.76,1.7,5.68,10.31,Santa Monica
165.22,0.76,140.19,0.1,2.0,3.46,Bakersfield
160.22,1.06,82.97,0.32,3.01,7.41,Cranston
230.31,2.04,50.78,0.48,1.24,1.83,Arlington
253.68,6.77,57.22,1.51,3.49,4.46,Lauderhill
161.89,0.51,76.53,0.29,1.68,1.9,Green Bay
155.21,0.41,66.52,0.1,1.46,1.59,Lincoln
200.27,1.89,177.38,2.68,15.18,23.4,Perris
216.96,1.14,30.4,0.07,1.07,1.42,Meridian
